FUND CODE,FUND NAME,SUBFUND CCY,NAV DATE,ACC NUMBER,INTERNAL NUMBER,ISIN CODE,INSTRUMENT NAME,CURRENCY,QUANTITY,MARKET VALUE IN FD CCY,MARKET VALUE IN SEC CCY,TNA,% NAV,%PORTFOLIO,ID BLOOMBERG,NEXT COUPON DATE,VALUATION PRICE,MARKET PRICE,LAST COUPON DATE,ACCRUED INT FD CCY,ACCRUED INT.,NUMBER OF ACCRUED DAYS,INVESTMENT TYPE,GEOGRAPHICAL SECTOR,ECONOMIC SECTOR CODE,ECONOMIC SECTOR LABEL
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1668927.13,1668927.13,44085016.38,             3.79,3.785702,,99991231,100.000000,3.785701508,99991231,             0.00,0.00,,,,,450 CASH
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264175  00,,,Performance Fee,EUR,0.00,-432.82,-432.82,44094283.63,            -0.00,-0.000982,,99991231,100.000000,-0.000981578,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264176  00,,,Performance Fee,EUR,0.00,-36070.57,-36070.57,44094283.63,            -0.08,-0.081803,,99991231,100.000000,-0.081803279,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,268204  00,,,Marketing Expenses,EUR,0.00,-144.98,-144.98,44094283.63,            -0.00,-0.000329,,99991231,100.000000,-0.000328795,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,120145  00,,,Amort. Formation expenses,EUR,0.00,-757.76,-757.76,44094283.63,            -0.00,-0.001718,,99991231,100.000000,-0.001718499,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264136  00,,,Transfer Agency Fee,EUR,0.00,-68.86,-68.86,44094283.63,            -0.00,-0.000156,,99991231,100.000000,-0.000156165,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264156  00,,,Domiciliary Agency Fee,EUR,0.00,-218.71,-218.71,44094283.63,            -0.00,-0.000496,,99991231,100.000000,-0.000496005,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,267100  00,,,Subscription tax,EUR,0.00,-498.06,-498.06,44094283.63,            -0.00,-0.001130,,99991231,100.000000,-0.001129534,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-526.80,-526.80,44094283.63,            -0.00,-0.001195,,99991231,100.000000,-0.001194713,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264293  00,,,Managment Fee I,EUR,0.00,-27587.71,-27587.71,44094283.63,            -0.06,-0.062565,,99991231,100.000000,-0.062565275,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
