===============================================================================
"EXTENSION NAME","linecount"
"EXTENSION VERSION","0.1.7"
-------------------------------------------------------------------------------

"count time","2018-10-30 18:24:03"
"count workspace","c:\Users\sroyer\Source\Repos\Etl.Net"
"total files","296"
"total code lines","14301"
"total comment lines","499"
"total blank lines","1273"


"filename","code","comment","blank"
"src\Paillave.Etl\Core\Streams\ISingleStream.cs","6","0","1"
"src\Paillave.Etl\Core\Streams\ISortedStream.cs","13","0","2"
"src\Paillave.Etl\Core\Streams\IStream.cs","16","2","1"
"src\Paillave.Etl\Core\Streams\KeyedStream.cs","24","0","1"
"src\Paillave.Etl\Core\Streams\SingleStream.cs","14","0","1"
"src\Paillave.Etl\Core\Streams\SortedStream.cs","26","4","1"
"src\Paillave.Etl\Core\Streams\Stream.cs","43","0","8"
"src\Paillave.Etl\Core\StreamStatisticCounter.cs","11","0","1"
"src\Paillave.Etl\Core\StreamStatisticError.cs","11","0","1"
"src\Paillave.Etl\Core\StreamStatistics.cs","11","0","1"
"src\Paillave.Etl\Core\StreamToNodeLink.cs","18","0","1"
"src\Paillave.Etl\Core\TraceContents\CounterSummaryStreamTraceContent.cs","17","0","3"
"src\Paillave.Etl\Core\TraceContents\ITraceContent.cs","11","0","1"
"src\Paillave.Etl\Core\TraceContents\NotKeyedStreamTraceContent.cs","19","0","4"
"src\Paillave.Etl\Core\TraceContents\NotSortedStreamTraceContent.cs","19","0","4"
"src\Paillave.Etl\Core\TraceContents\RowProcessStreamTraceContent.cs","19","0","3"
"src\Paillave.Etl\Core\TraceContents\SortWarningStreamTraceContent.cs","15","0","2"
"src\Paillave.Etl\Core\TraceContents\StreamTraceContentBase.cs","13","0","3"
"src\Paillave.Etl\Core\TraceContents\UnhandledExceptionStreamTraceContent.cs","17","0","4"
"src\Paillave.Etl\Core\TraceEvent.cs","31","5","3"
"src\Paillave.Etl\Core\Tracer.cs","28","0","4"
"src\Paillave.Etl\Disposable.cs","19","0","2"
"src\Paillave.Etl\ExecutionStatus.cs","21","1","1"
"src\Paillave.Etl\Extensions\Aggregate.StreamEx.cs","40","42","1"
"src\Paillave.Etl\Extensions\CrossApply.StreamEx.cs","67","0","1"
"src\Paillave.Etl\Extensions\CrossApplyEnumerable.StreamEx.cs","37","25","2"
"src\Paillave.Etl\Extensions\CrossApplyFolderFiles.StreamEx.cs","97","0","1"
"src\Paillave.Etl\Extensions\Distinct.StreamEx.cs","36","0","1"
"src\Paillave.Etl\Extensions\EnsureKeyed.StreamEx.cs","37","0","1"
"src\Paillave.Etl\Extensions\EnsureSingle.StreamEx.cs","28","0","1"
"src\Paillave.Etl\Extensions\EnsureSorted.StreamEx.cs","37","0","1"
"src\Paillave.Etl\Extensions\GetStreamStatistics.StreamEx.cs","46","0","1"
"src\Paillave.Etl\Extensions\LeftJoin.StreamEx.cs","31","0","1"
"src\Paillave.Etl\Extensions\Lookup.StreamEx.cs","32","0","1"
"src\Paillave.Etl\Extensions\Pivot.StreamEx.cs","38","0","1"
"src\Paillave.Etl\Extensions\Select.StreamEx.cs","169","170","2"
"src\Paillave.Etl\Extensions\SelectSection.StreamEx.cs","57","0","1"
"src\Paillave.Etl\Extensions\Skip.StreamEx.cs","45","0","1"
"src\Paillave.Etl\Extensions\Sort.StreamEx.cs","37","0","1"
"src\Paillave.Etl\Extensions\SubProcess.StreamEx.cs","30","0","1"
"src\Paillave.Etl\Extensions\ThroughAction.StreamEx.cs","186","0","6"
"src\Paillave.Etl\Extensions\ToGroup.StreamEx.cs","30","0","1"
"src\Paillave.Etl\Extensions\ToLocalFile.StreamEx.cs","31","0","1"
"src\Paillave.Etl\Extensions\Top.StreamEx.cs","45","0","1"
"src\Paillave.Etl\Extensions\Union.StreamEx.cs","38","0","1"
"src\Paillave.Etl\Extensions\UnionAll.StreamEx.cs","38","0","1"
"src\Paillave.Etl\Extensions\Unpivot.StreamEx.cs","30","0","1"
"src\Paillave.Etl\Extensions\Where.StreamEx.cs","45","0","1"
"src\Paillave.Etl\JobDefinitionStructure.cs","18","0","1"
"src\Paillave.Etl\NodeDescription.cs","15","0","0"
"src\Paillave.Etl\Reactive\Core\DeferredPushObservable.cs","77","0","6"
"src\Paillave.Etl\Reactive\Core\DeferredWrapperPushObservable.cs","42","0","5"
"src\Paillave.Etl\Reactive\Core\EventDeferredPushObservable.cs","80","0","6"
"src\Paillave.Etl\Reactive\Core\IComparer.cs","12","0","1"
"src\Paillave.Etl\Reactive\Core\IDeferredPushObservable.cs","12","0","1"
"src\Paillave.Etl\Reactive\Core\IPushObservable.cs","15","0","1"
"src\Paillave.Etl\Reactive\Core\IPushObserver.cs","14","0","1"
"src\Paillave.Etl\Reactive\Core\IPushSubject.cs","11","0","1"
"src\Paillave.Etl\Reactive\Core\ISubscription.cs","10","0","1"
"src\Paillave.Etl\Reactive\Core\LambdaComparer.cs","20","8","4"
"src\Paillave.Etl\Reactive\Core\LambdaEqualityComparer.cs","24","0","3"
"src\Paillave.Etl\Reactive\Core\PushObservableBase.cs","43","0","7"
"src\Paillave.Etl\Reactive\Core\PushSubject.cs","62","0","6"
"src\Paillave.Etl\Reactive\Core\SortDefinition.cs","115","0","8"
"src\Paillave.Etl\Reactive\Core\SortDefinitionComparer.cs","51","1","3"
"src\Paillave.Etl\Reactive\Core\SortOrder.cs","10","0","1"
"src\Paillave.Etl\Reactive\Core\Subscription.cs","32","0","1"
"src\Paillave.Etl\Reactive\Core\Synchronizer.cs","42","0","2"
"src\Paillave.Etl\Reactive\Disposables\CollectionDisposableManager.cs","43","0","2"
"src\Paillave.Etl\Reactive\Disposables\IDisposableManager.cs","14","0","1"
"src\Paillave.Etl\Reactive\Disposables\SingleDisposableManager.cs","40","0","2"
"src\Paillave.Etl\Reactive\Operators\AggregateGroupedComparableSubject.cs","62","0","2"
"src\Paillave.Etl\Reactive\Operators\AggregateGroupedSubject.cs","66","0","3"
"src\Paillave.Etl\Reactive\Operators\AggregateSubject.cs","69","1","3"
"src\Paillave.Etl\Reactive\Operators\ChunkSubject.cs","67","0","7"
"src\Paillave.Etl\Reactive\Operators\CombineWithLatestSubject.cs","154","0","3"
"src\Paillave.Etl\Reactive\Operators\CompletesOnExceptionSubject.cs","55","0","2"
"src\Paillave.Etl\Reactive\Operators\ConcatenateSubject.cs","76","0","7"
"src\Paillave.Etl\Reactive\Operators\DistinctSubject.cs","49","0","2"
"src\Paillave.Etl\Reactive\Operators\DistinctUntilChangedSubject.cs","58","0","2"
"src\Paillave.Etl\Reactive\Operators\DoSubject.cs","47","0","3"
"src\Paillave.Etl\Reactive\Operators\ExceptionOnUnsortedSubject.cs","64","0","4"
"src\Paillave.Etl\Reactive\Operators\ExceptionsToObservableSubject.cs","37","0","5"
"src\Paillave.Etl\Reactive\Operators\FilterSectionSubject.cs","138","0","4"
"src\Paillave.Etl\Reactive\Operators\FilterSubject.cs","28","0","2"
"src\Paillave.Etl\Reactive\Operators\FilterSubjectBase.cs","35","0","5"
"src\Paillave.Etl\Reactive\Operators\FirstSubject.cs","54","1","4"
"src\Paillave.Etl\Reactive\Operators\FlatMapSubject.cs","100","1","7"
"src\Paillave.Etl\Reactive\Operators\GroupSubject.cs","119","0","1"
"src\Paillave.Etl\Reactive\Operators\LastSubject.cs","51","0","4"
"src\Paillave.Etl\Reactive\Operators\LeftJoinSubject.cs","134","0","10"
"src\Paillave.Etl\Reactive\Operators\MapSubject.cs","58","0","3"
"src\Paillave.Etl\Reactive\Operators\MergeSubject.cs","55","0","4"
"src\Paillave.Etl\Reactive\Operators\MultiMapSubject.cs","65","0","2"
"src\Paillave.Etl\Reactive\Operators\ObservableExtensions.cs","55","1","1"
"src\Paillave.Etl\Reactive\Operators\OfTypeSubject.cs","40","0","3"
"src\Paillave.Etl\Reactive\Operators\PushObservable.cs","61","0","1"
"src\Paillave.Etl\Reactive\Operators\ScanSubject.cs","44","0","1"
"src\Paillave.Etl\Reactive\Operators\SkipSubject.cs","45","0","3"
"src\Paillave.Etl\Reactive\Operators\SkipUntilConditionSubject.cs","72","0","5"
"src\Paillave.Etl\Reactive\Operators\SkipUntilSubject.cs","76","0","6"
"src\Paillave.Etl\Reactive\Operators\TakeSubject.cs","44","0","3"
"src\Paillave.Etl\Reactive\Operators\TakeUntilConditionSubject.cs","58","0","2"
"src\Paillave.Etl\Reactive\Operators\TakeUntilSubject.cs","40","0","2"
"src\Paillave.Etl\Reactive\Operators\ToListSubject.cs","53","0","1"
"src\Paillave.Etl\StreamNodes\AggregateSortedStreamNode.cs","37","0","2"
"src\Paillave.Etl\StreamNodes\AggregateStreamNode.cs","35","0","2"
"src\Paillave.Etl\StreamNodes\ApplyStreamNode.cs","60","0","4"
"src\Paillave.Etl\StreamNodes\CrossApplyStreamNode.cs","88","0","3"
"src\Paillave.Etl\StreamNodes\DistinctSortedStreamNode.cs","20","0","2"
"src\Paillave.Etl\StreamNodes\DistinctStreamNode.cs","25","0","2"
"src\Paillave.Etl\StreamNodes\EnsureKeyedStreamNode.cs","26","0","2"
"src\Paillave.Etl\StreamNodes\EnsureSingleStreamNode.cs","29","0","2"
"src\Paillave.Etl\StreamNodes\EnsureSortedStreamNode.cs","26","0","2"
"src\Paillave.Etl\StreamNodes\JoinStreamNode.cs","28","0","2"
"src\Paillave.Etl\StreamNodes\LookupStreamNode.cs","35","0","2"
"src\Paillave.Etl\StreamNodes\PivotSortedStreamNode.cs","45","0","2"
"src\Paillave.Etl\StreamNodes\PivotStreamNode.cs","36","0","2"
"src\Paillave.Etl\StreamNodes\SelectProcessor.cs","82","85","2"
"src\Paillave.Etl\StreamNodes\SelectSectionStreamNode.cs","42","0","2"
"src\Paillave.Etl\StreamNodes\SelectStreamNode.cs","94","0","8"
"src\Paillave.Etl\StreamNodes\SkipStreamNode.cs","24","0","2"
"src\Paillave.Etl\StreamNodes\SortStreamNode.cs","30","0","2"
"src\Paillave.Etl\StreamNodes\SubProcessesUnionStreamNode.cs","48","0","2"
"src\Paillave.Etl\StreamNodes\ThroughActionStreamNode.cs","132","1","4"
"src\Paillave.Etl\StreamNodes\ToGroupsStreamNode.cs","29","0","1"
"src\Paillave.Etl\StreamNodes\ToLocalFileStreamNode.cs","37","0","1"
"src\Paillave.Etl\StreamNodes\TopStreamNode.cs","24","0","2"
"src\Paillave.Etl\StreamNodes\ToSubProcessStreamNode.cs","42","0","2"
"src\Paillave.Etl\StreamNodes\UnionAllStreamNode.cs","27","0","3"
"src\Paillave.Etl\StreamNodes\UnionStreamNode.cs","24","0","2"
"src\Paillave.Etl\StreamNodes\UnpivotStreamNode.cs","27","0","3"
"src\Paillave.Etl\StreamNodes\WhereStreamNode.cs","24","0","2"
"src\Paillave.Etl\StreamProcessRunner.cs","161","1","9"
"src\Paillave.Etl\ValuesProviders\LocalFilesValuesProvider.cs","39","0","2"
